City,Cost_of_Living_Score,Safety_Score,teleport_city_score,Latitude,Longitude
Aarhus,4.015000000000001,9.616500000000002,65.08999999999999,56.1496278,10.2134046
Adelaide,4.692,7.926000000000001,61.19986486486487,-34.9281805,138.5999312
Albuquerque,6.059,1.3435,51.51216216216216,35.0841034,-106.650985
Almaty,9.333,7.309,52.75824324324324,43.2363924,76.9457275
Amsterdam,3.8240000000000007,8.503500000000003,69.59878378378377,52.3730796,4.8924534
Anchorage,3.141,3.4704999999999995,52.02472972972975,61.2163129,-149.894852
Andorra,0.0,9.5535,29.36432432432432,42.5407167,1.5732033
Ankara,9.125,7.425000000000002,52.01594594594593,39.9207886,32.8540482
Asheville,5.311,5.852500000000001,50.92864864864867,35.6009498,-82.5540161
Asuncion,9.295000000000002,6.9345,47.11594594594596,-25.2800459,-57.6343814
Athens,6.5,6.7585,55.06256756756756,37.9755648,23.7348324
Atlanta,5.241,2.6725,58.03756756756757,33.7489924,-84.3902644
Auckland,4.470000000000001,7.0215,60.44162162162162,-36.852095,174.7631803
Austin,5.355,5.069,60.5177027027027,30.2711286,-97.7436995
Baku,9.806,8.772,49.984459459459465,40.3755885,49.8328009
Bali,0.0,8.7475,44.28783783783784,48.8534951,2.3483915
Baltimore,4.982,2.373,45.36324324324325,39.2908816,-76.610759
Bangkok,7.222,7.0365,54.17243243243245,13.7524938,100.4935089
Barcelona,6.074000000000001,7.407499999999999,63.35378378378377,41.3828939,2.1774322
Beijing,8.101,7.066,53.410270270270274,39.9057136,116.3912972
Beirut,6.3,6.833,42.95716216216216,33.88922645,35.50255852895232
Belfast,6.014000000000001,7.678999999999999,59.54608108108111,54.596391,-5.9301829
Belgrade,8.546000000000001,6.6995000000000005,50.90851351351351,44.8178131,20.4568974
Belize City,0.0,6.052,28.68500000000001,17.5000543,-88.2003115
Bengaluru,10.0,7.294,47.55689189189189,12.9767936,77.590082
Bergen,1.805,7.7075,60.09445945945945,60.3943055,5.3259192
Berlin,5.524,7.251500000000001,69.96513513513514,52.5170365,13.3888599
Bern,1.0,9.266,62.41121621621622,46.9484742,7.4521749
Bilbao,5.638,8.7805,59.019459459459455,43.2630018,-2.9350039
Birmingham,5.814,6.946500000000001,58.58513513513513,52.4796992,-1.9026911
"Birmingham, AL",5.133,1.776,45.74148648648649,33.5206824,-86.8024326
Bogota,9.079999999999998,6.222000000000001,52.68162162162161,4.6529539,-74.0835643
Boise,6.578,4.3605,55.63108108108109,43.6008183,-116.24210864118032
Bologna,5.189,7.337,53.89972972972973,44.4938203,11.3426327
Bordeaux,4.583,7.466,57.256486486486494,44.841225,-0.5800364
Boston,4.259,7.742000000000001,67.32635135135136,42.3554334,-71.060511
Boulder,4.531,7.0735,64.25229729729732,40.0149856,-105.270545
Bozeman,0.0,6.9145,48.48432432432433,45.6794293,-111.044047
Bratislava,7.618,8.618,57.406891891891895,48.1516988,17.1093063
Brighton,5.324,8.4715,62.39027027027026,50.8214626,-0.1400561
Brisbane,5.1770000000000005,7.903500000000001,63.16783783783782,-27.4689682,153.0234991
Bristol,5.242,7.939999999999999,61.426351351351336,51.4538022,-2.5972985
Brno,7.925999999999998,8.5655,58.28702702702703,49.1922443,16.6113382
